原文,翻译
分布式系统,distributed system
容器编排,Container Orchestration
零信任架构,Zero Trust Architecture
向量数据库,Vector Database
低代码平台,Low-code platform
边缘计算,Edge Computing
持续集成,Continuous Integration
技术债务,Technical Debt
通勤高峰,Commuting rush hour
社交边界,social boundaries
情绪价值,Emotional Value
断舍离,Decluttering
预制菜,prepared dishes
亲子关系,parent-child relationship
基因编辑,gene editing
暗物质,dark matter
碳中和,carbon neutrality
可再生能源,renewable energy
临床试验,clinical trial
神经可塑性,Neuroplasticity
叙事视角,narrative perspective
意象群,Imagery Group
时代隐喻,epic metaphor
悲剧美学,Tragic Aesthetics
黑色幽默,Black humor
如果我们只追求短期增长而忽视基础研究，下一次技术范式转移到来时就可能失去主动权。,"If we focus solely on short-term growth while neglecting basic research, we may lose the initiative when the next technological paradigm shift arrives."
这个系统在测试环境里表现稳定，但一旦并发量接近峰值，隐藏在缓存一致性里的问题就会集中爆发。,"This system performs stably in the test environment, but once the concurrency reaches its peak, issues hidden within cache consistency will become concentrated and severe."
团队并不是缺少聪明人，而是缺少把复杂问题拆解为可验证假设的共同方法。,"The team is not lacking smart people, but rather lacks a common method to break down complex problems into verifiable hypotheses."
当你把所有功能都堆到首页时，用户看似拥有更多选择，实际上更难完成最核心的任务。,"When you pile all functions onto the home page, users seem to have more options, but in reality, it becomes harder to complete the most core tasks."
新员工在前三个月形成的工作习惯，往往比入职培训手册里的任何口号都更能决定团队文化。,The work habits formed by new employees in the first three months often determine team culture more effectively than any slogan in the onboarding training manual.
那家小店之所以总有人排队，不是因为装修多高级，而是老板记得常客不吃香菜这种细节。,"The reason why there is always a queue at that small shop isn’t because of its fancy decoration, but because the owner remembers details like regular customers not liking cilantro."
与其在社交媒体上反复证明自己，不如把时间留给真正会在困难时站在你身边的人。,"Rather than repeatedly proving yourself on social media, it’s better to spend time with those who will truly stand by you in times of difficulty."
孩子问的问题有时看似天真，却会逼着成年人重新审视那些被默认正确的答案。,"The questions children ask sometimes seem naive, but they force adults to re-examine those commonly accepted answers."
我们原本以为只是换了一个沟通工具，后来才发现真正改变的是协作节奏和责任边界。,"We originally thought it was just a change in communication tools, but later we realized that what really changed was the collaboration pace and responsibility boundaries."
预算削减之后，最先被取消的常常是长期项目，而这些项目恰恰决定了三年后的竞争力。,"After budget cuts, it is often long-term projects that are first canceled, and these projects are precisely what determine competitiveness three years later."
虽然实验结果尚未达到统计显著性，但多个独立样本呈现出同方向变化，这值得继续追踪。,"Although the experimental results have not yet reached statistical significance, multiple independent samples show directional changes, which warrant further tracking."
研究人员提醒公众，相关性并不等于因果性，尤其在样本量有限时更容易产生误判。,"Researchers remind the public that correlation does not equal causation, especially when the sample size is limited, which can lead to misjudgments."
这项疗法在早期试验中显示出希望，不过其长期副作用仍需通过更大规模随访来确认。,"This therapy has shown promise in early trials, but its long-term side effects still need to be confirmed through larger-scale follow-ups."
当观测仪器的分辨率提升一个数量级，我们对同一现象的解释框架也随之被迫更新。,"When the resolution of observational instruments is improved by an order of magnitude, our framework for explaining the same phenomenon is also forced to be updated."
气候模型给出的不是唯一结论，而是一组概率分布，政策制定必须在不确定性中做决策。,"Climate models provide not a single conclusion, but a set of probability distributions. Policy-making must involve decision-making in the face of uncertainty."
小说没有直接写战争，却通过一盏反复熄灭的煤油灯让读者感到时代的阴影。,"The novel doesn't directly describe war, but it makes readers feel the shadow of the era through a kerosene lamp that keeps going out repeatedly."
她的诗句看似平静，停顿与留白却像暗流一样推动情感在读者心里缓慢堆积。,"Her verses seem calm on the surface, but the pauses and spaces act like undercurrents, slowly accumulating emotions in the reader's heart."
导演刻意省略高潮场面，把叙事重心放在失败之后的沉默，这反而让结局更有力量。,"The director deliberately omitted the climactic scenes and focused the narrative on the silence after failure, which actually makes the ending more powerful."
译者若只追求字面对应，往往会牺牲原文的节奏和语气，从而错过真正的文学性。,"If translators only pursue literal correspondence, they often sacrifice the rhythm and tone of the original text, thereby missing out on its true literary quality."
这篇散文最难翻译的不是典故，而是那种若即若离的自嘲口吻。,"The most difficult part of this prose to translate is not the allusions, but that kind of self-mockery with a distant and detached tone."
在多语言产品中，同一个按钮文案在不同文化里可能触发完全不同的心理预期。,"In multi-language products, the same button text may trigger completely different psychological expectations in different cultures."
我们花了两周优化启动速度，结果用户满意度提升的关键却是首次使用时的引导文案。,"We spent two weeks optimizing the startup speed, but the key to improving user satisfaction was the guidance text during the first use."
即使结论正确，若推理过程无法复现，也很难说服同行接受这项研究。,"Even if the conclusion is correct, if the reasoning process cannot be reproduced, it will be difficult to convince peers to accept this research."
一项技术是否先进，不只看模型参数规模，还要看它在真实场景中的可维护性与能耗。,Whether a technology is advanced depends not only on the size of its model parameters but also on its maintainability and energy consumption in real-world scenarios.
当实验失败成为可公开讨论的常态，团队学习速度通常会比只展示成功案例时更快。,"When failure in experiments becomes a topic for public discussion, team learning speed usually increases faster than when only successful cases are presented."
这次暴雨并没有刷新历史极值，却因排水系统老化让一座城市在两小时内陷入瘫痪。,"This heavy rain did not set a new record, but due to aging drainage systems, a city was paralyzed within two hours."
医生解释方案时用了大量术语，病人点头表示理解，但回家后依然不知道该如何用药。,"The doctor used a lot of technical terms when explaining the treatment plan. The patient nodded to show they understood, but after returning home, they still didn't know how to take the medication."
他在演讲里引用了许多数据，然而最打动听众的却是那个关于母亲的简短故事。,"He cited many data in his speech, but what most moved the audience was that short story about his mother."
如果把所有风险都转移给供应商，看起来成本下降了，实际上只是把不确定性延后结算。,"If all risks are transferred to the supplier, it may seem like costs have decreased, but in reality, it merely delays settlement of uncertainty."
我们可以接受进度放缓，但不能接受在需求不清楚时仓促上线再让用户买单。,"We can accept a slower progress, but we cannot accept rushing to launch with unclear requirements and then having users pay for it."
